username,review,score
Kjkhygfj,"Jeg har haft appen på min telefon i månedsvis, men har aldrig modtaget en eneste notifikation. Selvom jeg bor og arbejder i Aarhus, og der har været smittede i mit barns børnehave. Jeg tror simpelthen ikke den virker... Den er tændt og lyser grønt så ved ikke hvad det er med den.",1
MichaelJuhl1978,Jeg blev testet positiv fir Corona en mandag og ringer til smitteopsporing tirsdag og når de har fået de oplysninger de skal bruge og spørger om jeg bruger denne app siger jeg ja. Nu her snart 5 dage senere står der stadig at jeg IKKE er testet positiv og når jeg logger ind med nem-id står der at mit test resultat ikke foreligger. Ubrugelig app,1
^uas,"Jeg har en iphone og var nødt til at gå ind og kigge om jeg havde fået noget besked fra appen som jeg havde ikke fået. Jeg kiggede fordi en i min studygruppe fik positivt test. Jeg fik ikke notification men kunne se beskedet inde på appen senere. Det var det samme med appen hos andre nærkontakter til den smittede. Der stod at jeg skulle testes tidligst muligt fordi nogen som var måske tæt på mig fx. i bussen blev testet positiv men jeg skulle ikke isoleres og at jeg kunne gå i skolen eller på arbejde. Jeg synes at det er ikke godt at lade det stå sådan når appen kan ikke gøre forskel på om man var i bus med nogen smittet i 10 min. hvor locationen ændrer sig hele tiden eller når man har siddet sammen med nogen ved læsning på samme sted i 3 timer fordi jeg skulle jo isoleres med det samme som jeg var selv blevet testet positiv og skulle blive testet to gange, 4 dage senere og så 2 dage efter. Så pointet er at det stemmer ikke det appen oplyser man om dvs. at blive testet hurtigst mulig fordi det skal være først 4 dage efter at du mødte den smittede og at man skal ikke isoleres fordi det skal man hvis man er nærkontakt de første 4 dage inden test 1 - hvis det er negativt må man bryde isolationen men man skal have test 2 også.",3
mogokc,"App’en virker ikke. 
Jeg har nu selv ved flere lejligheder været i nær kontakt med smittet personer i min. otte timer ad gangen. (Selvfølgelig uden at vide det)
Jeg har ikke modtaget en eneste besked fra appen.",1
René_d,"App’en er sikkert fin nok i forhold til at melde om man har været i nærkontakt med COVID-19, men man vil nok ikke få notifikationen når ens telefon konstant er tømt for strøm. Spøg til side, tror måske der er et generelt problem med strømforbrug på en iPhone XR. Notifikationer om eksponering har alene idag et forbrug på 29%.",2
Casse66,"Jeg har ikke fået 1 eneste meddelelse fra app’en, selvom 18 ud af 22 fastansatte kolleger har været smittet med COVID-19?
Hvorfor. Jeg har en iPhone 6s, som skulle være en model der skulle fungere med APP’en SMITTESTOP",1
Faster B,"Det ville være en god idé, hvis I som det første i opdateringsnoterne skriver, at man skal godkende vilkårene igen.",4
DaizDk,"Appen giver en tilsyneladende vigtig notifikation, men man kan ikke finde denne besked igen.",1
Rune.alleslev,Har fået to notifikationer indenfor 48 timer selvom jeg helt sikkert ikke har været i nærheden af nogen der er konstateret smittet,3
stringbrewer,"Appen er sådan set fin nok, men da svigerforældrene fik symptomer og derefter testede positive, én dag efter, at jeg var forbi dem, fik jeg aldrig en advarsel fra appen. Det fik jeg til gengæld fra smitteopsporingen.

Slettede appen efter det.",2
Stamer,"Virker ikke til telefoner med ældre styresystemer. Hele Danmarks smitte-app? Det tror jeg nok ikke.
Bluetooth og ikke GPS/geolocator er ikke særligt hensigsmæssigt - både hvad angår batterilevetiden og at din telefon generelt er mere sårbare med Bluetooth tændt. 
Stram op!",1
Mikkel Schwartz,"Jeg synes appen er en god ide, men dens strømforbrug er alt for højt. Dens strømforbrug er over 50% af telefonens samlede forbrug.",3
@kramsen@,"Jeg undre mig at når man har fået besked i app at man har været tæt på en positiv person så står der at man ikke skal gå i selvisolation hvis man ingen symptomer har. Det syntes jeg er forkert. 
Der burde også stå at hvis man er testet negativ skal man testes 2 dage efter.",3
EinfeldtG,"Er lige skiftet fra iPhone 8 (hvor det virkede fint) til iPhone 12 Pro Max, men jeg kan ikke få smittestop til at blive aktiv. Er det et kendt problem?",2
nadfre,"Jeg har været smittet og været hos min far til kaffe i 1 time.
Efter jeg har registreret mig for smittet, er han stadigvæk ikke blevet orienteret via appen...meget mystisk.",3
Dr. John666,"Når appen åbnes er status “App activity label” og cirklen er grøn. Hvad betyder det?

Appen videre kører i baggrunden og når den tages frem igen er status “Inaktiv” og cirklen er rød. Der sker intet ved at trykke på den røde cirkel. Der er i øvrigt en “play”-trekant i cirklen og ikke pauseknap som før seneste opdatering. 

Desuden er den også begyndt at dræne mit batteri. Det har de tidligere versioner trods alt ikke gjort.",2
J S O H,"Min telefon og jeg været hjemme i lidt over et døgn og har på intet tidspunkt forlade matriklen, jeg har ikke haft kontakt med nogen ud over min mand og 2 små børn (som ikke har appen) alligevel får jeg besked om at jeg har været i nærkontakt til en coronadmittet
Få nu styr på den app",1
jenrasdk,"På trods af, at der nu to gange har været corona blandt nære kontakter er der ikke kommet besked herom. Giver folk falske forhåbninger - øv",1
vvicaretti,Is the source code available anywhere?,5
hjlldyævk,"Har set at appen virker da jeg fik en meddelelse da jeg havde været i nær kontakt med en smittet. 

Men ville være rart hvis der stod hvilken dag man havde været i kontakt, da der jo skal gå 4 dage efter kontakt, til at man skal testes.",3
Muchacha1985,"Jeg har nu installeret app’en for 4. Gang, da den efter en periode altid stopper med at virke - bliver inaktiv og kan ikke startes igen. Altid når jeg haft app’en i 3-4 uger ish.",2
Tooo mac,App virker ikke på IOS 14.2,1
Damian Pedersen,"Jeg havde en kollega som blev konstateret smittet på min arbejdesplads og min smittestop app gav mig ingen påmindelse om at jeg har været i nærheden af en som blev ramt. Den gang jeg blev smittet med virussen, der fik min mor hellere ikke en besked på telefonen som fortalt at hun har været i nærheden af en, som var smittet. Jeg opfordre udvikleren af denne app, få løst problemet ellers ser jeg desværre ingen udvej, end at slette smittestop på min iPhone 12 Pro.",2
Ejnars,Folk ser underlige ud når jeg spørger,5
Camillabc,Bliver man også advaret imod de folk der ikke er testet?,2
freydis95,"Min kæreste og jeg bruger begge appen, og har på forskellige tidspunkter (min kæreste i aften) oplevet at få en notifikation om, at vi har været i kontakt med flere smittede - men når vi er gået ind i smittestop beskeder i appen har der ikke været nogen. 
Det virker som en fejl, der måske skal rettes? Eller er det fordi smittestop beskeder ikke inkluderer beskeder om smittekontakt?",4
Thea V.,Appen fungerer af sig selv og er ligesom bare på telefonen. Den sluger ikke strøm eller kommer med dumme notifikationer. Alle bør downloade den!,5
hhfxz,Jeg vil foreslå at I skriver i opdaterings noterne at folk skal åbne smitte appen og godkende vilkår igen.. Det kan gøre at lidt færre folk går rundt med en app der ikke virker..,3
Alex E V,"Synes ideen er god, men jeg mangler godt nok noget rapportering fra den. Vi ved jo ikke en gang om appen virker. Det kunne være fedt, hvis man havde en oversigt over hvor mange andre man har været i kontakt med de sidste 7 dage. Evt. Hvor stor sansynlighed der er for smitte givet de kontakt tal der er i ens område. Og om man med de kontakttal så er sammen med flere en normalt. Bare kom med en eller anden form for rapportering - hvis der så er fejl i appen, så er det også lettere for os brugere at give melding til jer om det. Og alt den usikkerhed der er om appens funktion vil derved også blive be eller afkræftet. Tak!",2
Like 4 life,"As the title said. After a iPhone backup recovery, it downloaded the app and it said active but wasn’t even connected to anything.

There wasn’t anything that prompted the app working. And I first discovered this 2 months after the backup. Therefore I must’ve been close to someone but wasn’t notified.

Make a check if it’s even connected to Bluetooth.",1
Zattie63,"Hej,

Det ville være en god ide at indsætte telefon nummeret som man skal ringe til, og et link direkt til Coronaopsporing under Styrelsen for Patientsikkerhed.

Der er forvirrende  info i beskeden man modtager når man har været i nærheden af en der har været smittet.

.....udvikler symptomer mellem 1 og 14 dage, efter de har været udsat for smitte. Mange vil udvikle symptomer på smitte efter 5-7 dage....

Jeg opdagede at jeres app ikke er sat op til per automatik at altid vise besked på låst skærm, og banner stil skal stå på vedvarende. Så er man da sikker på at man får besked( hvis man altså har sin mobil på sig altid.

Jeg håber i tænker det samme og retter op på dette.",2
Jacob Høgh,I går begyndte strømforbruget til appen at stige helt vildt. 48% af det samlede forbrug på 24 timer. Batteriet var ca. 80 procent da jeg lagde mig til at sove og 35% da jeg vågnede. Jeg mistænker appen for at have drænet batteriet i denne periode.,5
ChristianHøi,"Hej.
Arbejder til dagligt på Roskilde sygehus og har haft appen i et halv års tid hvor jeg på nuværende tidspunkt ikke haft en eneste besked om smitte i nærområdet med Covid-19. 
Det virker lidt som om at appens indflydelse er = 0 
Eller rettere sagt propaganda.",1
Jesdosspa,Denne app er den største batteri-sluger jeg har på min iPhone. Alene i dag har den brugt 39% af min batteritid... synes godt nok det er meget....,3
Gerda Sørensen,"Appen virker kun tilsyneladende. Den går næsten konstant inaktiv. Så er den jo ikke til at regne med alligevel. 
Bruger iphone11.",1
Peter321,"Efter sidste opdatering dræner notifikations-processen batteriet på telefonen. Under Batteribrug kan man se at “Notifikationer om eksponering” bruger 3-6% af telefonens strøm om dagen, før opdateringen var strømbruget så lille, at det ikke blev registreret.",1
EPMMJ12,"Virker ikke .Den  lyser grøn. Har haft den siden start og har aldrig modtaget nogle former for besked , selvom jeg har været i nærheden at folk der har haft covid .",1
Manne10,"Opdaterer ikke automatisk på iPhone som den ellers er indstillet til. 
Læste tilfældigt i avisen at væsentlig fejl nu var rettet og at den nye version er 1.2. Men så at min version stadig var 1.1. Måtte derfor opdatere manuelt. IKKE SMART!!",3
Yaldita,"By not providing option for non-Danish speaking residence, you are loosing on contact tracing of all foreigners living in Denmark and thereby putting at risk your beloved Danishness. Which is all in one; the Danish way!",1
Mikael Iversen,"Måske hvis i fik den opdateret ville man syntes mere om den.
Hvis det kan få den til at virke.",1
AuriDUL,"The idea is good, but the application itself doesn’t seem to work at all. 

I was browsing through the Exposure Notifications logs in my iPhone settings. I came across a few logs that said “Matched Key Count = 1”, which implies that I was close to someone who tested positive and shared that their status in the app. However, I never received any proper notification in the application itself.

My device: iPhone 11 Pro, iOS 14.1.",1
Janus K,"Har opdaget at jeg har haft en ny besked på næsten en uge liggende i app’en, uden at den har givet mig en notifikation på at jeg har været i kontakt med en Covid-19 smittet. Kan se at notifikationer er tændt for app’en.",4
AogD,Smittestop appen er begyndt at dræne min iPhone 7 for batteri. Som eneste app der bruger batteri mens telefonen er slukket kan den dræne fra 90% til 30% på 6 timer. Det har den ikke gjort før. Jeg tror det hænger sammen med IOS 14 og appen.,3
Trashmouth,"Virker den? Måske, man får ingen beskeder fra appen om noget som helst. Til gengæld æder den seriøst med strøm. Over de sidste 10 dage har den ædt 7% af mit samlede strømforbrug. Og jeg bruger min tlf meget. Det tal må være langt højere for folk der ikke bruger deres tlf så meget.",3
Lac-Rhh,"Hej

Jeg fik besked via app, at jeg skulle testes pga. tæt kontakt med smittet. 

Kanon information og nu skulle der bestilles tid til test. 

Her mangler der et link, så man ryger direkte fra appen til “coronaprøver.dk”

Det vil gøre det lettere for alle og begrænse opkald til det oplyste support nummer i appen.",4
clausfh,"Min søn er lige kommet hjem fordi han har COVID-19. Han har anmeldt det i smittestop appen på hans iPhone. Men jeg har ikke fået besked at jeg har været i nærheden af en der er smittet på min iPhone. 
Der står i appen at den lige er opdateret, men stadig ingen besked.",1
ikkegod,Er app blevet opdateret for ellers er håbløs,1
jvorup,Anvendelsen synes jeg begrænses en del med kravet om version 13.5. Adskillige iPhone 6 er slet ikke nået til denne version af styresystemet ???,4
LeMef,"Fint med en simpel app uden overflødige notifikationer og feedback, men ikke så simpel at man ikke ved om den virker (hvad den jo så heller ikke gjorde).
Kunne i ikke vise antallet af nære kontakter man har haft det sidste døgn, eller lign.",2
o1Maiken,"Jeg har nu haft appen installeret i nogle uger men jeg ved rent faktisk ikke om den virker. Jeg er dagligt blandt mange mennesker, som jeg ikke kender og er blandt “nye” mennesker hver dag. Ikke én eneste gang har app’en sendt mig en notifikation angående covid 19, så jeg har ærligt ingen idé om den virker. På trods af at den har adgang til min Bluetooth m.m. Den for kun 3 stjerner da jeg er vild med idéen, men har endnu ikke haft noget bevis grundlag for at den virker.",3
Jespergottlieb,"En app til 20 millioner, der er fyldt med fejl. Alene i denne uge, er det kommet frem, at I ikke har læst på lektien, inden I sendte regningen på 20 mill. Ideer til skatteyderne. Som jeres chef udtaler “Man kan jo altid diskutere, hvor perfekt noget skal være” What? I en krise tid, hvor I udvikler måske Danmark mest kritiske App... og så mener I ikke at der er sket en fejl?

App’en har jo ikke give besked til potentielt smittede fordi I ikke har lavet ordentlige testes.",1
Frantsen91,Min app bliver flere gange om dagen inaktiv og jeg skal derfor ind og aktivere den igen. Jeg opdager det kun ved selv at gå ind og se om den er aktiv/inaktiv.,2
anton&oda,"Når man som nærkontakt bor sammen med en der COVID-19 og begge bruger appen 
Den smitte har oplyst alt og den er tændt osv 

Så undere det altså meget at den som er i nærkontakt ikke får nogen meldinger at man opholder sig med en smitte 

Det er sgu et selvmål af rang 

Få nu styr på jeres app",1
Classicist from Denmark,"“Epidemiologen Christian Wejse glæder sig over, at man nu har fundet fejlen.

Men han mener, at alle tætte møder burde tælle med:

– Den skal registrere alle, der opfylder det kriterium, at de har været inden for halvanden meters afstand i mindst 15 minutter. Så skal du registreres som tæt kontakt, og så er det ligegyldigt, hvad du efterfølgende har gjort, siger han.”",1
Theos mor,"Jeg har oplevet at få en notifikation om 4 mulige kontaktpunkter inden for seneste uge. Da jeg trykkede på notifikationen kom jeg ind til appens indstillinger og log under Admin - ikke til selve appen. Der stod intet nærmere om hvor eller hvornår møderne var sket. Når jeg åbnede selve appen lå der ingen beskeder, og der var ingen information om, hvordan jeg skulle reagere på de mulige kontaktpunkter.",1
holzen1,"Når min mobil ligger i et skab i Fitness center, vil app’en så virke?",3
Binærnørd,"Hej
Efter nogen undren over, at appen ikke virkede, selv når ens samlever var testet positiv, blev det meddelt (ca d. 28. sept.) at nu var appen rettet så den også skulle virke i det tilfælde. Er det rettet i vers. 1.1 til iPhone? For den er angiveligt 1 md. gammel. Hvordan hænger det sammen?",1
Baldersgade,Kommer der snart en ny opdatering?,1
DK2019_DK,How many foreigners live in Denmark? Does it make sense that this app only supports one language? Even this disaster is an international pandemic.,1
Bamse555,Det er ikke muligt at aktivere smittestop appen på iOS 14.0.1. Der mangler en Update til dette.,1
Deepankar Sehgal,This app is a definitely a good tool to fight against COVID-19 but as an expat who doesn’t speak or read danish it is difficult to navigate through it. Is there a way for the development team to have an option for English as another language?,4
For ringe,"Er det muligt at få appen til at virke på appels ur, jeg har ikke min telefon på mig når jeg betjener kunder, men mit ur har jeg altid på mig.
Og det skal kunne virke uden at dræne ens ur for strøm
Venlig hilsen Lone",3
A muslimah girl,"Hej. Er det kun dem der har/haft covid 19, der kan bruge appen? Eller kan dem der er testet negativt, også bruge appen?",5
Ztrejfer,"Fint, men er oplagt at udvikle til Apple Watch.",4
hvorforskalmanvælgekaldenavn,"Den ugentlige notifikation forsvinder så snart man har åbnet sin telefon.

Iphone 8",4
Tsl2303,Målet er vel at så mange som muligt henter denne app. Hvorfor så ikke lave den så dem med ældre iphones også kan være med? Det er en usmart begrænsning...,2
fufusboy,Det er meget godt men der kunne godt komme til Apple ure så dit ur kan have appen,5
J.C. Nielsen,"Det er svært at vurdere om appen virker eller ej. En ting som jeg har lagt mærke til er, at jeg bliver nødt til aktivt at starte app’en i ny og næ fordi den bliver slået ned af iOS engang imellem. Tryk derfor dagligt på appens ikon for at være nogenlunde sikker på den kører. Særligt efter at have kørt krævende apps for eksempel spil.",3
SJA49xf,"Kan ikke genfinde notifikationer. Nogle gange når jeg ikke at registrere andet end, at det er en notifikation fra denne app, og prøver senere forgæves at se, hvad den indeholdt",3
Maria-2344,"I know of a specific case when a positive test did not result in notifications to contacts, the app developers were notified but have not solved the issue. 
Publish the number of positive tests registered per day and people notified otherwise you continue giving everyone FALSE peace of mind!",1
Henrik_Jepsen,Der går ca 45% af mit strømforbrug til notifikation om smitte. Det er bare for meget.,1
Mikkel h m,"Kunne man ikke i appen lave en adfærdsindikation
Så man f.eks. Kan se om ens adfærd er hensigtsmæssig vis nogle algoritmer. 

Så kunne man være grøn gul og rød. 

På den måde kan man selv holde øje og blive påmindet om sin adfærd og ændre på den.",3
#øv,"Ærgerligt den ikke kan bruges til iPhone 6. Mange har stadig den model, og kan se ikke benytte app’en",1
NannaChr,"Jeg må desværre give en stjerne, da jeg har konstateret at den ikke virker. 
Min kæreste blev testet positiv for 2 uger siden, og vi har begge app’en. Jeg har dog ingen besked modtaget, selvom han har været inde og melde at han er smittet.",1
